sheet,row,register_raw,register_start,register_end,is_range,friendly_name,description,bytes,data_type,format,access,present_from_version,extra_col_i,extra_col_j,extra_col_k,parser_note
DeviceInformationGtw08,4,1,1,1,false,,Manufacturer Code (= VAT code) of the device,20,OCTETSTRING,,R,1.00,,,,
DeviceInformationGtw08,5,2,2,2,false,,,,,,,,,,,
DeviceInformationGtw08,6,3,3,3,false,,,,,,,,,,,
DeviceInformationGtw08,7,4,4,4,false,,,,,,,,,,,
DeviceInformationGtw08,8,5,5,5,false,,,,,,,,,,,
DeviceInformationGtw08,9,6,6,6,false,,,,,,,,,,,
DeviceInformationGtw08,10,7,7,7,false,,,,,,,,,,,
DeviceInformationGtw08,11,8,8,8,false,,,,,,,,,,,
DeviceInformationGtw08,12,9,9,9,false,,,,,,,,,,,
DeviceInformationGtw08,13,10,10,10,false,,,,,,,,,,,
DeviceInformationGtw08,14,11,11,11,false,,Type of the device GTW-08,2,UINT16,,R,1.00,,,,
DeviceInformationGtw08,15,12,12,12,false,AP059,Alternative Modbus mapping,1,UINT8,"0: the register 259 is the same as the heat demand PDO (7 : Heating and 8 : Cooling) 1: for Siemens systems, register 259 (1: Cooling and 2: Heating",r/W,1.02,,,,
SystemDiscovery,4,128,128,128,false,,number of electronic Boards present on the appliance,1,UINT8,0-16,R,1.00,,,,
SystemDiscovery,5,129,129,129,false,,"Type of the device located on instance 1( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 14:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,6,130,130,130,false,,"Software Version of device located on instance 1( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,7,131,131,131,false,,"configurationTable Version of device located on instance 1( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,8,132,132,132,false,,"Hardware Version of device located on instance 1( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,9,133,133,133,false,,"Article Number of device located on instance 1( CU-EHC, EEC, SCB,..)",4,UINT32,Unit,R,1.00,,,,
SystemDiscovery,10,135,135,135,false,,"Type of the device located on instance 2( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 14:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,11,136,136,136,false,,"Software Version of device located on instance 2( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,12,137,137,137,false,,"configurationTable Version of device located on instance 2( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,13,138,138,138,false,,"Hardware Version of device located on instance 2( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,14,139,139,139,false,,"Article Number of device located on instance 2( CU-EHC, EEC, SCB,..)",4,UINT32,Unit,R,1.00,,,,
SystemDiscovery,15,141,141,141,false,,"Type of the device located on instance 3( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 14:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,16,142,142,142,false,,"Software Version of device located on instance 3( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,17,143,143,143,false,,"configurationTable Version of device located on instance 3( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,18,144,144,144,false,,"Hardware Version of device located on instance 3( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,19,145,145,145,false,,"Article Number of device located on instance 3( CU-EHC, EEC, SCB,..)",4,UINT32,Unit,R,1.00,,,,
SystemDiscovery,20,147,147,147,false,,"Type of the device located on instance 4( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 14:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,21,148,148,148,false,,"Software Version of device located on instance 4( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,22,149,149,149,false,,"configurationTable Version of device located on instance 4( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,23,150,150,150,false,,"Hardware Version of device located on instance 4( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,24,151,151,151,false,,"Article Number of device located on instance 4( CU-EHC, EEC, SCB,..)",4,UINT32,Unit,R,1.00,,,,
SystemDiscovery,25,153,153,153,false,,"Type of the device located on instance 5( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 15:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,26,154,154,154,false,,"Software Version of device located on instance 5( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,27,155,155,155,false,,"configurationTable Version of device located on instance 5( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,28,156,156,156,false,,"Hardware Version of device located on instance 5( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,29,157,157,157,false,,"Article Number of device located on instance 5( CU-EHC, EEC, SCB,..)",5,UINT32,Unit,R,1.00,,,,
SystemDiscovery,30,159,159,159,false,,"Type of the device located on instance 6( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 15:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,31,160,160,160,false,,"Software Version of device located on instance 6( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,32,161,161,161,false,,"configurationTable Version of device located on instance 6( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,33,162,162,162,false,,"Hardware Version of device located on instance 6( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,34,163,163,163,false,,"Article Number of device located on instance 6( CU-EHC, EEC, SCB,..)",5,UINT32,Unit,R,1.00,,,,
SystemDiscovery,35,165,165,165,false,,"Type of the device located on instance 7( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 15:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,36,166,166,166,false,,"Software Version of device located on instance 7( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,37,167,167,167,false,,"configurationTable Version of device located on instance 7( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,38,168,168,168,false,,"Hardware Version of device located on instance 7( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,39,169,169,169,false,,"Article Number of device located on instance 7( CU-EHC, EEC, SCB,..)",5,UINT32,Unit,R,1.00,,,,
SystemDiscovery,40,171,171,171,false,,"Type of the device located on instance 8( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 15:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,41,172,172,172,false,,"Software Version of device located on instance 8( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,42,173,173,173,false,,"configurationTable Version of device located on instance 8( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,43,174,174,174,false,,"Hardware Version of device located on instance 8( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,44,175,175,175,false,,"Article Number of device located on instance 8( CU-EHC, EEC, SCB,..)",5,UINT32,Unit,R,1.00,,,,
SystemDiscovery,45,177,177,177,false,,"Type of the device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 15:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,46,178,178,178,false,,"Software Version of device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,47,179,179,179,false,,"configurationTable Version of device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,48,180,180,180,false,,"Hardware Version of device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,49,181,181,181,false,,"Article Number of device located on instance 9( CU-EHC, EEC, SCB,..)",5,UINT32,Unit,R,1.00,,,,
SystemDiscovery,50,183,183,183,false,,"Type of the device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,0xZZYY ZZ: device category YY: number in the category Device Category ZZ in Hex 00:CU-GH 01:CU-OH 02:EHC 15:MK (HMI) 19:SCB 1B:EEC 1E:Gateway eg 0x0008= CU_GH08,R,1.00,,,,
SystemDiscovery,51,184,184,184,false,,"Software Version of device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=SW02.01,R,1.00,,,,
SystemDiscovery,52,185,185,185,false,,"configurationTable Version of device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=P02.01,R,1.00,,,,
SystemDiscovery,53,186,186,186,false,,"Hardware Version of device located on instance 9( CU-EHC, EEC, SCB,..)",2,UINT16,ex 0x2001=HW02.01,R,1.00,,,,
SystemDiscovery,54,187,187,187,false,,"Article Number of device located on instance 9( CU-EHC, EEC, SCB,..)",4,UINT32,Unit,R,1.00,,,,
SystemDiscovery,55,189,189,189,false,,Number of Zones present on the appliance,1,UINT8,0 - 127,R,1.00,,,,
SystemDiscovery,56,190,190,190,false,,Number of Zones Disabled present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,57,191,191,191,false,,Number of Zones Heating present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,58,192,192,192,false,,Number of Zones Heating / Cooling present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,59,193,193,193,false,,Number of Zones DHW present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,60,194,194,194,false,,Number of Zones Process Heat present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,61,195,195,195,false,,Number of Zones Swimming Pool present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,62,196,196,196,false,,Number of Zones Others (Time Program) present on the appliance,1,UINT8,0 -127,R,,,,,
SystemDiscovery,63,197,197,197,false,,Buffer Tank is active on the appliance,1,UINT8,0 : No 1: Yes,R,,,,,
SystemDiscovery,64,198,198,198,false,,the appliance is part of a cascade,1,UINT8,0 : No 1: Cascade Master 2: Cascade Slave,R,,,,,
SystemDiscovery,65,199,199,199,false,Reserved for future use,,,,,,,,,,
SystemDiscovery,66,200,200,200,false,,Reset discovery table. Set to 0x5A to execute the order. Reset to 0 by the GTW-08,1,UINT8,,R/W,1.00,,,,
MainControlMonitoring,4,256,256,256,false,,External Remote Management: Heat demand Power setpoint to send to the CU device,1,UINT8,%,R/W,1.00,,,,
MainControlMonitoring,5,257,257,257,false,,External Remote Management: Heat demand Temperature setpoint Heating to send to the CU device,2,UINT16,"0,01°C",R/W,1.00,,,,
MainControlMonitoring,6,258,258,258,false,,External Remote Management: Type of control (Montoring or/and remote management,1,ENUM8,"0 : remote management both (Power and temperature) 1 :remote management Power; 2 :remote management Temperature 3 : None,remote monotoring only",R/W,1.00,,,,
MainControlMonitoring,7,259,259,259,false,,External Remote Management: Type of heat demand,1,ENUM8,0 : None 7 : Heating 8 : Cooling,R/W,1.00,,,,
MainControlMonitoring,8,260,260,260,false,,External Remote Management: Heat demand Temperature setpoint Cooling to send to the CU device,2,INT16,"0,01°C",R/W,1.02,,,,
MainControlMonitoring,9,261-271,261,271,true,reserved for futur use,,,,,,,,,,reserved range in source; not expanded for gap count
MainControlMonitoring,10,272,272,272,false,,Actual power output (Collection of all Actual power received from connected boiler),1,UINT8,%,R,1.00,,,,
MainControlMonitoring,11,273,273,273,false,,Appliance Flow Temperature,2,INT16,"0,01°C",R,1.00,,,,
MainControlMonitoring,12,274,274,274,false,,Appliance Return Temperature,2,INT16,"0,01°C",R,1.00,,,,
MainControlMonitoring,13,275,275,275,false,,Status bitfield of the appliance/cascade,1,UINT8,Bit 0: Direct zones allowed to run Bit 1: Mixing circuits allowed to run Bit 2: all valves open/ pump running within safety Bit 3: Manual heat demand active Bit 4: CoolingAllowed Bit 5: DHW circuits allowed to run Bit 6: Heat Engine Active Bit 7: Padding,R,1.00,,,,
