register,datatype,access,display_code,table,line,description_excerpt
128,UINT8,,,Tab.52     Number of boards present in the appliance,1620,Dispositivi connessi            1 unità                 0 - 16                R È possibile utilizzare la tabella seguente per trovare l'istanza dell'oggetto per il codice di errore del dispositivo specifico.
189,UINT8,,,Tab.24     Read number of zones,1009,Counter of zone detected                                  0 - 127            R Tab.25     Zone function with display code CP02X and device type Zone        1         2       3         4         5         6          7    
256,UINT8,R/W,,Tab.18    Temperature and power,915,Power                                            %                               R/W
257,UINT16,R/W,,Tab.18    Temperature and power,916,Temperature                                      0.01 °C                         R/W
258,ENUM8,R/W,,Tab.18    Temperature and power,917,"Algorithm type                                   Tab.19, page 15                 R/W"
259,ENUM8,R/W,,Tab.18    Temperature and power,918,"Heat demand type                                 Tab.20, page 15                 R/W"
272,UINT8,R,,Tab.12     Appliance registers,542,Actual power system                              1                               R Tab.19       Algorithm type Value        Description 0            Remote management for both temperature and power
275,UINT8,,,Tab.12     Appliance registers,545,"Bitfield heat demand per      See the following table           0 – 255               R zone; Nbr zone, power set­    Tab.13, page 11 point, temp setpoint and type of heat demand"
277,UINT16,,,Tab.12     Appliance registers,549,Lista de errores de todos los                                  0 – 65535            L dispositivos conectados al sistema
279,UINT8,,,Tab.12     Appliance registers,551,"Lista da informação relativa   Consulte o quadro seguin­                       R ao estado da saída 2 de to­    te Sep.289, página 152 dos os dispositivos conecta­ dos ao sistema"
280,UINT8,,,Tab.12     Appliance registers,554,"Lista da informação relativa   Consulte o quadro seguin­                       R ao estado da saída 2 de to­    te Sep.290, página 152 dos os dispositivos conecta­ dos ao sistema"
384,INT16,R,,Tab.12     Appliance registers,557,"Instantaneous outside tem­         0,01 °C                      -70 – 70              R perature"
385,ENUM8,,,Tab.12     Appliance registers,559,Mod stagionale attiva (esta­      0:                              0–3                     R te / inverno)                     Inverno 1: Protezione antigelo 2: Banda estiva neutra 3: Estate
