block,datatype,access,classification,context,description,sources
1-10,OCTETSTRING,R,nur R laut Doku,DeviceInformationGtw08 (2),Manufacturer Code (= VAT code) of the device,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
12,UINT8,R/W,enthält W laut Doku,DeviceInformationGtw08 (2),Alternative Modbus mapping,GTW-08-Modbus-parameterlijst_gap_report.md
197,UINT8,R,nur R laut Doku,SystemDiscovery (3),Buffer Tank is active on the appliance,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
198,UINT8,R,nur R laut Doku,SystemDiscovery (3),the appliance is part of a cascade,GTW-08-Modbus-parameterlijst_gap_report.md
200,UINT8,R/W,enthält W laut Doku,SystemDiscovery (3),Reset discovery table. Set to 0x5A to execute the order. Reset to 0 by the GTW-08,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
260,INT16,R/W,enthält W laut Doku,MainControlMonitoring (16),External Remote Management: Heat demand Temperature setpoint Cooling to send to the CU device,GTW-08-Modbus-parameterlijst_gap_report.md
276,UINT8,R,nur R laut Doku,MainControlMonitoring (16),Special Status bitfield of the appliance /cascade,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
278,ENUM8,R,nur R laut Doku,MainControlMonitoring (16),Appliance error priority,GTW-08-Modbus-parameterlijst_gap_report.md
288-289,UINT32,R,nur R laut Doku,MainControlMonitoring (16),Counter burner starts,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
290-291,UINT32,R,nur R laut Doku,MainControlMonitoring (16),Counter Burning Hours,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
292,UINT16,R,nur R laut Doku,MainControlMonitoring (16),Number of hours appliance was active after service,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
293-294,UINT32,R,nur R laut Doku,MainControlMonitoring (16),Number of successful Compressor Starts after service,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
295-296,UINT32,R,nur R laut Doku,MainControlMonitoring (16),counter Backup1 starts,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
297-298,UINT32,R,nur R laut Doku,MainControlMonitoring (16),counter Backup1 Hours,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
299-300,UINT32,R,nur R laut Doku,MainControlMonitoring (16),counter Backup2 starts,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
301-302,UINT32,R,nur R laut Doku,MainControlMonitoring (16),counter Backup2 Hours,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
303-304,UINT32,R,nur R laut Doku,MainControlMonitoring (16),Number of hours appliance was active,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
340,UINT8,R,nur R laut Doku,MainControlMonitoring (16),Status bitfields number 1. Relevant for the HMI output,GTW-08-Modbus-parameterlijst_gap_report.md
341,UINT8,R,nur R laut Doku,MainControlMonitoring (16),Status bitfields number 2. Relevant for the HMI output,GTW-08-Modbus-parameterlijst_gap_report.md
342,UINT8,R,nur R laut Doku,MainControlMonitoring (16),Status bitfields number 3. Relevant for the HMI output,GTW-08-Modbus-parameterlijst_gap_report.md
350,OCTETSTRING,R/W,enthält W laut Doku,MainControlMonitoring (16),Appliance Time,GTW-08-Modbus-parameterlijst_gap_report.md
351,OCTET_STRING,R/W,enthält W laut Doku,3.3 Ungültige Werte,parApTimeOfDay Byte 2 parApTimeOfDay Byte 3 Uhrzeit Ende Modusänderung ZeitStempel CIA OCTET_STRING 3023.0 Write,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
390,INT16,R,nur R laut Doku,Boiler(Appliance) (41),Alarm codes when there is an alarm condition,GTW-08-Modbus-parameterlijst_gap_report.md
416,UINT8,R,nur R laut Doku,Boiler(Appliance) (41),Internal heat demand - Power,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
417,INT16,R,nur R laut Doku,Boiler(Appliance) (41),Internal heat demand - temperature Setpoint,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
418,UINT8,R,nur R laut Doku,Boiler(Appliance) (41),Internal heat demand - heatdemandType,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
453,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),current speed of the condenser pump,GTW-08-Modbus-parameterlijst_gap_report.md
454-455,UINT32,R,nur R laut Doku,Boiler(Appliance) (41),counter of the operating hours of the condenser pump (also called Hp Pump),GTW-08-Modbus-parameterlijst_gap_report.md
456,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),"the actual current of the ODU as measured by the ODU, is used in the ODU unit to protect against too high current",GTW-08-Modbus-parameterlijst_gap_report.md
457,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),"operation mode of the outdoor unit, in the current contrôle scheme onfle the HEAT(1) and COOL(2) modes are used, The current default is HEAT(1)",GTW-08-Modbus-parameterlijst_gap_report.md
458,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),system flow temperature setpoint including backups,GTW-08-Modbus-parameterlijst_gap_report.md
462,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),Instantaneous COP calculated by Hybrid application,GTW-08-Modbus-parameterlijst_gap_report.md
463,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),COP threshold calculated by hybrid,GTW-08-Modbus-parameterlijst_gap_report.md
464,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid mode selected,GTW-08-Modbus-parameterlijst_gap_report.md
465,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid Electricity cost in high tarif,GTW-08-Modbus-parameterlijst_gap_report.md
466,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid Electricity cost in low tarif,GTW-08-Modbus-parameterlijst_gap_report.md
467,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),cost of ofssil energy (oil or gas) - piece per litre or peu m3,GTW-08-Modbus-parameterlijst_gap_report.md
468,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Electrical CO2 emission in heating mode,GTW-08-Modbus-parameterlijst_gap_report.md
469,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Electrical CO2 emission in DHW mode,GTW-08-Modbus-parameterlijst_gap_report.md
